"H","O","Charge","Ba","Cl","S(6)","Sr","Barite","Celestite"
111.012433611766,55.5081921296176,-7.77955404676328e-09,0.0204106878937105,0.0408213757877751,0.000493829961304614,0.00049382996130541,0.001,1
111.012433603463,55.5084270354631,-4.73608329238722e-09,0.0109456657067104,0.0218913314136106,0.000552557840923815,0.000552557840924705,0.001,1
111.01243359412,55.5086913824988,-1.31116863948068e-09,0.000294374534704979,0.000588749069415065,0.000618646195856329,0.000618646195857326,0.001,1
111.012433593871,55.5086984174167,-1.22002332629161e-09,1.09177574925975e-05,2.18355149853844e-05,0.000620404967802182,0.000620404967803182,0.001,1
111.012433593862,55.5086986783276,-1.21664293054175e-09,4.04917595153494e-07,8.09835190314013e-07,0.00062047019710474,0.00062047019710574,0.001,1
111.012433593861,55.5086986880043,-1.21651755848447e-09,1.50175765468373e-08,3.0035153093935e-08,0.00062047261632795,0.00062047261632895,0.001,1
111.012433593861,55.5086986883632,-1.21651290868785e-09,5.56971611111699e-10,1.11394322223306e-09,0.000620472706052058,0.000620472706053057,0.001,1
111.012433593861,55.5086986883765,-1.21651273623627e-09,2.06569531786202e-11,4.13139063575987e-11,0.000620472709379744,0.000620472709380743,0.001,1
111.012433593861,55.508698688377,-1.21651272984039e-09,7.66124711045877e-13,1.53224942210504e-12,0.000620472709503161,0.00062047270950416,0.001,1
111.012433593861,55.508698688377,-1.21651272960318e-09,2.84140196184699e-14,5.68280392374326e-14,0.000620472709507738,0.000620472709508738,0.001,1
111.012433593861,55.508698688377,-1.21651272959438e-09,1.05381865280997e-15,2.10763730563821e-15,0.000620472709507908,0.000620472709508908,0.001,1
111.012433593861,55.508698688377,-1.21651272959406e-09,3.90840073992325e-17,7.81680147991429e-17,0.000620472709507914,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,1.44954696931021e-18,2.89909393864557e-18,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,5.37607721432805e-20,1.07521544287493e-19,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,1.99387855835887e-21,3.98775711675233e-21,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,7.39489324090773e-23,1.47897864819437e-22,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,2.74261668621547e-24,5.48523337247851e-24,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,1.01718118740335e-25,2.03436237482434e-25,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,3.77251977357072e-27,7.54503954720687e-27,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,1.39915146074547e-28,2.79830292151521e-28,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,5.18917044204986e-30,1.03783408841897e-29,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,1.92455860799352e-31,3.84911721602042e-31,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,7.13779953263357e-33,1.42755990653909e-32,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,2.64726581754665e-34,5.29453163513922e-34,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,9.81817474238485e-36,1.963634948494e-35,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,3.64136289726051e-37,7.28272579458418e-37,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,1.35050802185302e-38,2.70101604372947e-38,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,5.00876174264726e-40,1.00175234853814e-39,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,1.85764866173724e-41,3.71529732350671e-41,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,6.88964404330062e-43,1.37792880867207e-42,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,2.55522995392451e-44,5.11045990789333e-44,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,9.47683229554061e-46,1.89536645912456e-45,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,3.51476587145764e-47,7.02953174297625e-47,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,1.30355573950343e-48,2.60711147902947e-48,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,4.8346252016144e-50,9.66925040331265e-50,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,1.79306493245842e-51,3.58612986494795e-51,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,6.65011602334455e-53,1.33002320468044e-52,0.000620472709507915,0.000620472709508914,0.001,1
111.012433593861,55.508698688377,-1.21651272959405e-09,2.46639384460604e-54,4.93278768925486e-54,0.000620472709507915,0.000620472709508914,0.001,1
